QB,CLASS,247 RATINGS,STARS,HEIGHT,WEIGHT,POSITION,STATE,HOMETOWN,HIGH SCHOOL,COMMITTED DATE,POSITION RANK,NATIONAL RANK,STATE RANK,COMMITTED SCHOOL ID,COMMITTED SCHOOL,RECRUIT STATUS,PLAYER URL,,,,,,,,STRAIGHT LINE DISTANCE (MILES),DRIVING DISTANCE (MILES)
Holden Bea,2024,83,3,2-Jun,190,QB,Washington,Washougal,Washougal,,130,2345,29,24120,Idaho,Signed,https://247sports.com/player/holden-bea-46117595/,,,,,,,,266.9,333.7
Luke Flowers,2024,83,3,1-Jun,170,QB,Idaho,Rigby,Rigby,,128,2334,5,24128,Montana,Signed,https://247sports.com/player/luke-flowers-46118103/,,,,,,,,241.4,319.9
Zach Sims,2024,83,3,2-Jun,185,QB,Alabama,Alabaster,Thompson,,131,2351,112,24594,Alabama State,Enrolled,https://247sports.com/player/zach-sims-46133973/,,,,,,,,68,70.5
Jack Patterson,2024,83,3,2-Jun,185,QB,Mississippi,Southaven,Northpoint Christian School,,119,2279,62,24233,Central Arkansas,Enrolled,https://247sports.com/player/jack-patterson-46134900/,,,,,,,,139,171.9
Jackson Stevens,2024,83,3,5-Jun,225,QB,Utah,Lehi,Skyridge,,132,2448,31,24157,Southern Utah,Signed,https://247sports.com/player/jackson-stevens-46140430/,,,,,,,,198.7,222.9
Thomas Gotkowski,2024,80,3,1-Jun,190,QB,Indiana,Indianapolis,Ben Davis,,162,2982,38,24072,Miami (OH),Enrolled,https://247sports.com/player/thomas-gotkowski-46137519/,,,,,,,,78,88.6
Daniel Beale,2024,84,3,2-Jun,200,QB,Louisiana,Baton Rouge,Baton Rouge Catholic,,110,2137,63,24111,Louisiana,Enrolled,https://247sports.com/player/daniel-beale-46132127/,,,,,,,,52.3,55.8
AJ Hairston,2024,82,3,3-Jun,215,QB,Florida,Pompano Beach,Monarch,,142,2644,304,24146,Umass,Enrolled,https://247sports.com/player/aj-hairston-46134816/,,,,,,,,1195.9,1409.9
Jack Stanton,2024,82,3,3-Jun,215,QB,Georgia,Norcross,Greater Atlanta Christian School,,138,2586,244,24937,Houston Christian,Enrolled,https://247sports.com/player/jack-stanton-46131800/,,,,,,,,724.9,824.4
Dylan Mills,2024,83,3,2-Jun,205,QB,California,San Clemente,San Clemente,,127,2319,189,24152,Villanova,Signed,https://247sports.com/player/dylan-mills-46134466/,,,,,,,,2362.2,2719.6
Alex Erby,2024,80,3,2-Jun,205,QB,Pennsylvania,Harrisburg,Steelton-Highspire,,154,2893,56,24063,Navy,HardCommit,https://247sports.com/player/alex-erby-46110049/,,,,,,,,91.3,111.8
Matthew Wilson,2024,81,3,Jun-00,205,QB,South Carolina,Rock Hill,Rock Hill,,148,2758,36,24224,Appalachian State,Enrolled,https://247sports.com/player/matthew-wilson-46118062/,,,,,,,,96.3,110.1
Jadyn Glasser,2024,83,3,2-Jun,230,QB,Florida,Venice,Venice,,116,2276,257,24069,Central Michigan,Enrolled,https://247sports.com/player/jadyn-glasser-46139051/,,,,,,,,1146.3,1339.3
Brayden Roggow,2024,82,3,4-Jun,200,QB,Ohio,Tiffin,Columbian,,145,2691,111,24065,Akron,Enrolled,https://247sports.com/player/brayden-roggow-46140569/,,,,,,,,86.8,95
Tyler Budge,2024,79,2,3-Jun,205,QB,North Carolina,Matthews,Weddington,,180,3192,62,24229,Georgia Southern,Enrolled,https://247sports.com/player/tyler-budge-46139718/,,,,,,,,195.9,229.3
Mason Reynolds,2024,79,2,1-Jun,219,QB,Indiana,Avon,Avon,,181,3201,53,24077,Western Michigan,Enrolled,https://247sports.com/player/mason-reynolds-46133334/,,,,,,,,178.9,221.2
Cru Newman,2024,82,3,Jun-00,178,QB,Oregon,Portland,Central Catholic,,135,2522,18,24132,Portland State,Signed,https://247sports.com/player/cru-newman-46128019/,,,,,,,,0.8,1.1
Caleb Sanchez,2024,82,3,3-Jun,220,QB,California,Bellflower,St. John Bosco,,140,2588,220,24164,Columbia,HardCommit,https://247sports.com/player/caleb-sanchez-46131715/,,,,,,,,2445.6,2800.8
Trey Hedden,2024,82,3,3-Jun,225,QB,Florida,Tampa,Tampa Catholic,,134,2521,286,24228,Furman,Enrolled,https://247sports.com/player/trey-hedden-46132126/,,,,,,,,482.3,584.8
Karson Siqueiros-Lasky,2024,82,3,1-Jun,195,QB,Florida,Sanford,Seminole,,146,2700,309,24168,Pennsylvania,HardCommit,https://247sports.com/player/karson-siqueiros-lasky-46138869/,,,,,,,,843.5,967.5
Neko Fann,2024,82,3,11-May,170,QB,Georgia,Moultrie,Colquitt County,,147,2701,253,24365,Mercer,Signed,https://247sports.com/player/neko-fann-46145079/,,,,,,,,114.3,127.6
Brad Jackson,2024,84,3,Jun-00,200,QB,Texas,San Antonio,Reagan,,106,2085,301,24240,Texas State,Enrolled,https://247sports.com/player/brad-jackson-46111817/,,,,,,,,46.5,50.3
Quinn Henicle,2024,82,3,2-Jun,190,QB,Pennsylvania,Downingtown,Downingtown West,,144,2690,53,24160,Old Dominion,Enrolled,https://247sports.com/player/quinn-henicle-46143466/,,,,,,,,218.1,265.2
Luther Richesson,2024,87,3,3-Jun,217,QB,Tennessee,Nashville,Lipscomb Academy,,2,1123,10,24113,Middle Tenn.,Enrolled,https://247sports.com/player/luther-richesson-46102641/,,,,,,,,31.7,34.6
TC Manumaleuna,2024,80,3,Jun-00,210,QB,Oregon,Salem,North Salem,,267,2959,22,24090,Oregon,Enrolled,https://247sports.com/player/tc-manumaleuna-46102423/,,,,,,,,61.9,67.3
Rodney Tisdale Jr.,2024,83,3,2-Jun,185,QB,Florida,Jacksonville,First Coast,,121,2281,259,24116,Western Kentucky,Enrolled,https://247sports.com/player/rodney-tisdale-jr-46117509/,,,,,,,,536.3,658.5
Brady McDonough,2024,78,2,Jun-00,190,QB,Arizona,Scottsdale,Desert Mountain,,186,3334,68,24063,Navy,Enrolled,https://247sports.com/player/brady-mcdonough-46113206/,,,,,,,,1998.2,2325.1
Logan Borodychuk,2024,79,2,5-Jun,215,QB,Michigan,Mt. Pleasant,Mt. Pleasant,,182,3215,76,24069,Central Michigan,Enrolled,https://247sports.com/player/logan-borodychuk-46135072/,,,,,,,,1,2
DJ Bailey,2024,83,3,11-May,220,QB,Texas,DeSoto,DeSoto,,125,2311,332,24237,Sam Houston,Enrolled,https://247sports.com/player/dj-bailey-46112839/,,,,,,,,150.9,166.8
Malachi Marshall,2024,86,3,2-Jun,168,QB,South Carolina,Rock Hill,South Pointe,,2,1643,4,24140,Florida State,Enrolled,https://247sports.com/player/malachi-marshall-46138422/,,,,,,,,363.5,445.4
Caden Pinnick,2024,81,3,Jun-00,192,QB,California,Loomis,Del Oro,,150,2768,248,24158,UC Davis,Enrolled,https://247sports.com/player/caden-pinnick-46143633/,,,,,,,,37.9,42.8
Dorian Hale,2024,81,3,Jun-00,177,QB,California,Brentwood,De La Salle,,4,2888,39,24124,San Jose State,Enrolled,https://247sports.com/player/dorian-hale-46058951/,,,,,,,,42.4,56.6
Tuli Tagovailoa-Amosa,2024,80,3,11-May,190,QB,Hawaii,Kahuku,Kahuku,,279,3033,22,24124,San Jose State,Enrolled,https://247sports.com/player/tuli-tagovailoa-amosa-46147577/,,,,,,,,2403.6,N/A
JP Pickles,2024,82,3,1-Jun,200,QB,Florida,Tallahassee,North Florida Christian,,133,2520,285,24061,UTEP,Enrolled,https://247sports.com/player/jp-pickles-46146083/,,,,,,,,1280,1456
AJ Watkins,2024,84,3,1-Jun,191,QB,Georgia,Norcross,Norcross,,177,1990,182,24201,Jacksonville State,Enrolled,https://247sports.com/player/aj-watkins-46146064/,,,,,,,,89.3,120
Luke Marble,2024,79,2,4-Jun,200,QB,Georgia,Smyrna,Campbell,,173,3136,274,24073,Northern Illinois,Enrolled,https://247sports.com/player/luke-marble-46145985/,,,,,,,,602.9,751.8
Jack Stevens,2024,80,3,1-Jun,195,QB,California,San Diego,Cathedral Catholic,,156,2936,294,24197,Wagner,HardCommit,https://247sports.com/player/jack-stevens-46113339/,,,,,,,,2423.4,2811.1
Davis Harsin,2024,80,3,Jun-00,180,QB,Idaho,Eagle,Eagle,,157,2940,9,24127,Idaho State,HardCommit,https://247sports.com/player/davis-harsin-46114934/,,,,,,,,205.5,249.9
Daveon Superales,2024,80,3,Jun-00,170,QB,Washington,Graham,Graham-Kapowsin,,155,2913,49,24129,Montana State,Enrolled,https://247sports.com/player/daveon-superales-46115240/,,,,,,,,541.7,701.9
Parker Threatt,2024,80,3,2-Jun,190,QB,California,San Jose,Bellarmine Prep,,270,2998,314,24082,San Diego State,Enrolled,https://247sports.com/player/parker-threatt-46133184/,,,,,,,,416.4,460.1
Jack Johnson,2024,80,3,Jun-00,195,QB,Utah,Salt Lake City,Brighton,,159,2949,39,24210,Georgetown,HardCommit,https://247sports.com/player/jack-johnson-46135152/,,,,,,,,1839.4,2079.7
Noah Trigueros,2024,80,3,2-Jun,180,QB,Arizona,Scottsdale,Notre Dame Preparatory,,168,3017,66,24166,Dartmouth,HardCommit,https://247sports.com/player/noah-trigueros-46136783/,,,,,,,,2229.2,2591.7
Luke Baker,2024,80,3,11-May,180,QB,California,Danville,San Ramon Valley,,158,2944,298,24133,Sacramento State,Enrolled,https://247sports.com/player/luke-baker-46136882/,,,,,,,,60,82.5
Tyson Line,2024,80,3,3-Jun,195,QB,California,San Diego,Mira Mesa,,166,3006,318,24157,Southern Utah,HardCommit,https://247sports.com/player/tyson-line-46140948/,,,,,,,,413,500.5
DaOne Owens,2024,80,3,1-Jun,205,QB,Ohio,Massillon,Massillon Washington,,169,3039,123,28434,Slippery Rock,Signed,https://247sports.com/player/daone-owens-46141563/,,,,,,,,79.6,106.9
Jonny Sorensen,2024,80,3,2-Jun,195,QB,Indiana,Hobart,Hobart,,170,3056,43,24067,Bowling Green,Enrolled,https://247sports.com/player/jonny-sorensen-46141700/,,,,,,,,188,218.1
Mikal Davis,2024,79,2,Jun-00,200,QB,Pennsylvania,Philadelphia,Imhotep Institute,,183,3222,64,24062,Army,HardCommit,https://247sports.com/player/mikal-davis-46132087/,,,,,,,,117.5,142.9
DJ Gordon,2024,79,2,Jun-00,200,QB,Indiana,Indianapolis,Park Tudor,,176,3141,50,24167,Harvard,Enrolled,https://247sports.com/player/dj-gordon-46135544/,,,,,,,,802.5,935.5
Elijah Leonard,2024,79,2,4-Jun,220,QB,Missouri,Lee's Summit,Lee's Summit North,,179,3176,38,24182,Missouri State,Enrolled,https://247sports.com/player/elijah-leonard-46140163/,,,,,,,,132.4,149.7
KJ Cooper,2024,79,2,5-Jun,225,QB,Texas,El Paso,El Paso Pebble Hills,,6,3266,1,24249,Texas Southern,Enrolled,https://247sports.com/player/kj-cooper-46143879/,,,,,,,,675.3,749.5
Anthony Grigsby Jr.,2024,79,2,11-May,196,QB,California,Elk Grove,Cosumnes Oaks,,7,3270,51,24122,Nevada,Enrolled,https://247sports.com/player/anthony-grigsby-jr-46097088/,,,,,,,,114.6,144.8
Nicholas Mayfield,2024,79,2,2-Jun,185,QB,Illinois,Blue Island,Eisenhower,,184,3239,81,24156,South Dakota,Signed,https://247sports.com/player/nicholas-mayfield-46145872/,,,,,,,,479.2,569.2
Haden Klees,2024,79,2,6-1.5,180,QB,Florida,Crawfordville,Wakulla,,174,3137,330,24230,Samford,Signed,https://247sports.com/player/haden-klees-46146113/,,,,,,,,264,314
Brody Fortunati,2024,78,2,3-Jun,190,QB,California,Vacaville,Vacaville,,193,3397,345,24078,Air Force,HardCommit,https://247sports.com/player/brody-fortunati-46140891/,,,,,,,,923.7,1272.5
Dylan Dunn,2024,78,2,4-Jun,190,QB,Kansas,Olathe,Blue Valley Southwest,,189,3360,29,24079,BYU,HardCommit,https://247sports.com/player/dylan-dunn-46144447/,,,,,,,,900.1,1106.3
Kenny Lueth,2024,79,2,4-Jun,220,QB,California,Rocklin,Rocklin,,5,3255,48,24073,Northern Illinois,Enrolled,https://247sports.com/player/kenny-lueth-46116997/,,,,,,,,1712,1967.5
Tyrese Smith,2024,77,2,2-Jun,210,QB,Nevada,Henderson,Liberty,,198,3500,30,24132,Portland State,Signed,https://247sports.com/player/tyrese-smith-46127779/,,,,,,,,768.3,1009.3
Cale McThenia,2024,77,2,3-Jun,210,QB,Illinois,Woodstock,Marian Central Catholic,,196,3496,102,24184,Northern Iowa,Signed,https://247sports.com/player/cale-mcthenia-46136881/,,,,,,,,205.3,235.5
Jeremiah Finaly,2024,77,2,Jun-00,185,QB,California,Los Alamitos,Crean Lutheran,,204,3615,389,24044,Minnesota,Enrolled,https://247sports.com/player/jeremiah-finaly-46137777/,,,,,,,,1528.4,1919
Bryson Luter,2024,77,2,Jun-00,180,QB,Indiana,Indianapolis,Lawrence Central,,197,3499,69,24062,Army,Enrolled,https://247sports.com/player/bryson-luter-46138252/,,,,,,,,649,749.5
Antwon McKay,2024,77,2,3-Jun,165,QB,Missouri,St. Louis,Cardinal Ritter College Prep,,201,3589,54,24187,Western Illinois,HardCommit,https://247sports.com/player/antwon-mckay-46142885/,,,,,,,,130.6,164.6
Hunter Watson,2024,77,2,3-Jun,210,QB,Texas,Celina,Celina,,8,3671,19,24237,Sam Houston,Enrolled,https://247sports.com/player/hunter-watson-46146095/,,,,,,,,194.5,213.2
Jett Hilding,2024,77,2,2-Jun,180,QB,Illinois,Chicago,St. Rita,,206,3673,112,24071,Kent State,Enrolled,https://247sports.com/player/jett-hilding-46147725/,,,,,,,,329,369
Greg Jones,2024,77,2,4-Jun,205,QB,Florida,Orlando,Foundation Academy,,9,3676,58,24201,Jacksonville State,Enrolled,https://247sports.com/player/greg-jones-46149126/,,,,,,,,447.6,537.9
Robert Battle,2024,76,2,1-Jun,175,QB,Illinois,East St. Louis,East St. Louis,,207,3700,113,24447,Lindenwood,HardCommit,https://247sports.com/player/robert-battle-46114472/,,,,,,,,21.6,25.1
Reqez Nance,2024,76,2,10-May,180,QB,Michigan,West Bloomfield,West Bloomfield,,208,3701,94,26074,Davenport,HardCommit,https://247sports.com/player/reqez-nance-46118711/,,,,,,,,111.2,132.8
Damian Aalona,2024,76,2,1-Jun,185,QB,Washington,Yelm,Yelm,,209,3702,106,25302,East Oregon,HardCommit,https://247sports.com/player/damian-aalona-46136375/,,,,,,,,243.5,370.8
Connor Wolf,2024,76,2,3-Jun,185,QB,Michigan,Grand Rapids,Catholic Central,,211,3724,96,24199,Eastern Illinois,HardCommit,https://247sports.com/player/connor-wolf-46139680/,,,,,,,,273.8,331.5
Andrew Schuster,2024,75,2,2-Jun,205,QB,Michigan,Clinton Township,Chippewa Valley,,219,3801,103,24280,Grand Valley State,HardCommit,https://247sports.com/player/andrew-schuster-46140613/,,,,,,,,153.4,177.1
Milos Spasojevic,2024,75,2,3-Jun,215,QB,Minnesota,Minnetonka,Minnetonka,,217,3795,47,24049,Wisconsin,HardCommit,https://247sports.com/player/milos-spasojevic-46142150/,,,,,,,,238,283.7
CJ Lee,2024,75,2,2-Jun,160,QB,California,Carmichael,Jesuit,,216,3785,423,24124,San Jose State,Enrolled,https://247sports.com/player/cj-lee-46143236/,,,,,,,,94.3,130.4
Poochie Snyder,2024,75,2,Jun-00,180,QB,Ohio,Canton,Canton South,,218,3798,169,24195,Sacred Heart,HardCommit,https://247sports.com/player/poochie-snyder-46143637/,,,,,,,,424.8,497.1
Zak Olejniczak,2024,75,2,1-Jun,180,QB,Michigan,Lapeer,Lapeer ,,212,3770,100,24280,Grand Valley State,HardCommit,https://247sports.com/player/zak-olejniczak-46144302/,,,,,,,,134.9,152.1
Gunnar Trachte,2024,74,2,4-Jun,205,QB,Washington,Enumclaw,Enumclaw,,225,3855,149,24440,Western Oregon,HardCommit,https://247sports.com/player/gunnar-trachte-46103784/,,,,,,,,173.2,225.5
Lucas Razore,2024,74,2,Jun-00,165,QB,Washington,Bellevue,Bellevue,,226,3856,150,24154,Cal Poly,HardCommit,https://247sports.com/player/lucas-razore-46135934/,,,,,,,,854,1022.7
Steven Warren,2024,74,2,4-Jun,155,QB,Washington,Edmonds,Edmonds Woodway,,224,3853,147,24261,Pacific,HardCommit,https://247sports.com/player/steven-warren-46137422/,,,,,,,,161.8,215.3
M'Khi Guy,2024,74,2,6-May,140,QB,Michigan,Muskegon,Muskegon,,228,3864,109,24313,Wayne State,HardCommit,https://247sports.com/player/mkhi-guy-46142449/,,,,,,,,172.1,195.2
Jake Tiryakioglu,2024,71,2,1-Jun,208,QB,Washington,Sammamish,Eastside Catholic,,238,3956,183,24095,Washington St.,Enrolled,https://247sports.com/player/jake-tiryakioglu-46118296/,,,,,,,,237.4,276.9
Reece Fountain,2024,,0,Jun-00,167,QB,Georgia,Rome,Rome,,,,,24262,East Tennessee State,HardCommit,https://247sports.com/player/reece-fountain-46101999/,,,,,,,,211.7,261.5
Michael Valentino,2024,,0,1-Jun,195,QB,Florida,Sarasota,Cardinal Mooney,,,,,24110,FAU,Enrolled,https://247sports.com/player/michael-valentino-46103434/,,,,,,,,163.8,228.8
Christopher Martin,2024,,0,2-Jun,190,QB,Georgia,Tifton,Tift County,,,,,24242,Alcorn State,Enrolled,https://247sports.com/player/christopher-martin-46115784/,,,,,,,,455,315
Frankie Weaver,2024,,0,6-4.5,190,QB,Maryland,Olney,Our Lady of Good Counsel,,,,,24193,Monmouth,HardCommit,https://247sports.com/player/frankie-weaver-46116582/,,,,,,,,180.7,205.1
Paxton Land,2024,,0,4-Jun,214,QB,Texas,Austin,Austin Westlake,,,,,24029,Texas A&M,Enrolled,https://247sports.com/player/paxton-land-46117396/,,,,,,,,86.2,105.2
Godspower Nwawuihe,2024,,0,11-May,195,QB,Texas,McKinney,McKinney,,,,,24062,Army,HardCommit,https://247sports.com/player/godspower-nwawuihe-46125472/,,,,,,,,1362.3,1571.3
Elijah Tillery,2024,,0,6-Jun,185,QB,North Carolina,Valdese,Jimmy C. Draughn,,,,,24015,NC State,HardCommit,https://247sports.com/player/elijah-tillery-46125676/,,,,,,,,162,184.6
Ethan Terrell,2024,,0,2-Jun,185,QB,Texas,Lewisville,Lewisville,,,,,24245,Jackson State,Signed,https://247sports.com/player/ethan-terrell-46128135/,,,,,,,,398,424.1
Zion Brown,2024,,0,Jun-00,180,QB,Texas,Humble,Atascocita,,,,,24910,UTRGV,HardCommit,https://247sports.com/player/zion-brown-46128512/,,,,,,,,310.6,356.5
Matt Ivaldi,2024,,0,1-Jun,200,QB,Florida,Fort Lauderdale,Miami Carol City,,,,,24209,Fordham,Enrolled,https://247sports.com/player/matt-ivaldi-46128902/,,,,,,,,1079.6,1262.5
Andres Miyares Jr.,2024,,0,1-Jun,210,QB,Florida,Miami,Belen Jesuit Prep,,,,,24014,North Carolina,Enrolled,https://247sports.com/player/andres-miyares-jr-46129399/,,,,,,,,703.3,794.1
Gunner Chenier,2024,,0,3-Jun,202,QB,Texas,Sugar Land,Fort Bend Clements,,,,,24368,Stetson,HardCommit,https://247sports.com/player/gunner-chenier-46129506/,,,,,,,,863.9,965.4
Trey Whirley,2024,,0,Jun-00,195,QB,Florida,Clearwater,Clearwater,,,,,24076,Toledo,Enrolled,https://247sports.com/player/trey-whirley-46131543/,,,,,,,,947.2,1132
Connor Ackerley,2024,,0,1-Jun,185,QB,Arizona,Tempe,Corona del Sol,,,,,25113,Western New Mexico,Enrolled,https://247sports.com/player/connor-ackerley-46133707/,,,,,,,,216.2,309.4
Deuce Barrington,2024,,0,Jun-00,180,QB,Texas,Fulshear,Fulshear,,,,,24247,Prairie View A&M,HardCommit,https://247sports.com/player/deuce-barrington-46134214/,,,,,,,,28.4,35
Lincoln Philyaw,2024,,0,2-Jun,213,QB,Texas,San Antonio,San Antonio Brandeis,,,,,24240,Texas State,Enrolled,https://247sports.com/player/lincoln-philyaw-46135143/,,,,,,,,46.5,50.3
Devin Grainger,2024,,0,1-Jun,180,QB,South Carolina,Conway,Conway,,,,,28752,Fayetteville State,Signed,https://247sports.com/player/devin-grainger-46136453/,,,,,,,,86,112
Hayden Johnson,2024,,0,Jun-00,180,QB,Pennsylvania,Lancaster,Manheim Township,,,,,24213,Lehigh,HardCommit,https://247sports.com/player/hayden-johnson-46138115/,,,,,,,,62.7,72.4
Atzel Chavez,2024,,0,1-Jun,175,QB,Texas,Laredo,United,,,,,24910,UTRGV,HardCommit,https://247sports.com/player/atzel-chavez-46138992/,,,,,,,,116.8,157
Hunter Najm,2024,,0,11-May,190,QB,California,Aliso Viejo,Aliso Niguel,,,,,24095,Washington St.,Enrolled,https://247sports.com/player/hunter-najm-46139877/,,,,,,,,909.6,1145.5
Luke Knight,2024,,0,9-May,194,QB,Florida,Zephyrhills,Wiregrass Ranch,,,,,24062,Army,Enrolled,https://247sports.com/player/luke-knight-46139979/,,,,,,,,1020.4,1152.6
Whitt Newbauer,2024,,0,6-Jun,231,QB,North Carolina,Raleigh,Cardinal Gibbons,,,,,24365,Mercer,Enrolled,https://247sports.com/player/whitt-newbauer-46140654/,,,,,,,,351.2,419.2
Thomas Rosso,2024,,0,3-Jun,175,QB,California,Palos Verdes Peninsula,Chadwick School,,,,,24209,Fordham,HardCommit,https://247sports.com/player/thomas-rosso-46141770/,,,,,,,,2465.4,2822.5
Austin Troyer,2024,,0,3-Jun,205,QB,Delaware,Middletown,Middletown,,,,,24142,Delaware,Enrolled,https://247sports.com/player/austin-troyer-46142696/,,,,,,,,16,17.2
Nehemiah Vann,2024,,0,1-Jun,200,QB,Florida,Lecanto,Seven Rivers Christian School,,,,,24062,Army,Enrolled,https://247sports.com/player/nehemiah-vann-46142923/,,,,,,,,990,1112.3
Jackson Gutierrez,2024,,0,Jun-00,207,QB,Texas,San Antonio,John Jay,,,,,24063,Navy,Enrolled,https://247sports.com/player/jackson-gutierrez-46143196/,,,,,,,,1415.4,1634
Parker Thompson,2024,,0,3-Jun,195,QB,Texas,Dallas,Highland Park,,,,,24078,Air Force,HardCommit,https://247sports.com/player/parker-thompson-46143920/,,,,,,,,622.5,743.5
Bode Soukup,2024,,0,2-Jun,205,QB,Nebraska,Blair,Blair,,,,,24025,Nebraska,Enrolled,https://247sports.com/player/bode-soukup-46144493/,,,,,,,,56.6,68
Ale Aparacio,2024,,0,10-May,170,QB,Texas,Pharr,PSJA North,,,,,24910,UTRGV,HardCommit,https://247sports.com/player/ale-aparacio-46144564/,,,,,,,,7.8,10.2
Evan Minjarez,2024,,0,Jun-00,200,QB,Texas,El Paso,El Paso Eastwood,,,,,24062,Army,HardCommit,https://247sports.com/player/evan-minjarez-46144573/,,,,,,,,1909.7,2221.6
Hudson Wilharm,2024,,0,5-Jun,195,QB,North Carolina,Wilmington,Hoggard,,,,,24014,North Carolina,Enrolled,https://247sports.com/player/hudson-wilharm-46144998/,,,,,,,,131,159.6
Drake Wells,2024,,0,1-Jun,190,QB,Ohio,Dayton,Centerville,,,,,24495,Tiffin,HardCommit,https://247sports.com/player/drake-wells-46145297/,,,,,,,,107.8,130.6
Evan Medders,2024,,0,Jun-00,200,QB,North Carolina,Waxhaw,Marvin Ridge,,,,,24078,Air Force,HardCommit,https://247sports.com/player/evan-medders-46145688/,,,,,,,,1356.5,1576.4
Nahseem Deas,2024,,0,3-Jun,190,QB,New York,Brooklyn,Abraham Lincoln,,,,,24171,Bethune-Cookman,Signed,https://247sports.com/player/nahseem-deas-46146106/,,,,,,,,885.7,1025
Lucas Scheerhorn,2024,,0,Jun-00,196,QB,Texas,Spring,Klein Oak,,,,,24363,Kennesaw State,Enrolled,https://247sports.com/player/lucas-scheerhorn-46146969/,,,,,,,,689.8,817.3
AJ Miller,2024,,0,3-Jun,200,QB,New York,Rye,Rye,,,,,24037,Syracuse,Enrolled,https://247sports.com/player/aj-miller-46147105/,,,,,,,,188.1,249.8
Parker Awad,2024,,0,1-Jun,195,QB,California,Huntington Beach,Edison,,,,,24123,New Mexico State,Enrolled,https://247sports.com/player/parker-awad-46135456/,,,,,,,,659.3,758.7
Brandon Nunez,2024,,0,5-Jun,225,QB,Arizona,Mesa,Mountain View,,,,,24123,New Mexico State,Enrolled,https://247sports.com/player/brandon-nunez-46147640/,,,,,,,,305.7,380.8
Rodge Waldrop,2024,82,3,5-Jun,216,QB,Georgia,Thomasville,Brookwood,,5,3381,82,24332,Georgia State,Enrolled,https://247sports.com/player/rodge-waldrop-46148279/,,,,,,,,202.9,225.8
Sean Winton,2024,,0,2-Jun,195,QB,Illinois,Elmhurst,York Community,,,,,24045,Northwestern,Enrolled,https://247sports.com/player/sean-winton-46148361/,,,,,,,,17.4,23.3
Justin Kowalak,2024,,0,Jun-00,205,QB,Illinois,Crystal Lake,Crystal Lake South,,,,,24103,Ole Miss,Enrolled,https://247sports.com/player/justin-kowalak-46114464/,,,,,,,,548.2,653.8
Keegan Patterson,2024,,0,Jun-00,195,QB,Colorado,Longmont,Longmont,,,,,24181,Indiana State,Enrolled,https://247sports.com/player/keegan-patterson-46136005/,,,,,,,,938.6,1039.3
Macloud Crowton,2024,,0,11-May,191,QB,Utah,St. George,Pine View,,,,,24085,Utah,Enrolled,https://247sports.com/player/macloud-crowton-46112044/,,,,,,,,269.3,305.4
John David Black,2024,,0,3-Jun,185,QB,Texas,Colleyville,Covenant Christian Academy,,,,,24050,East Carolina,Enrolled,https://247sports.com/player/john-david-black-46151713/,,,,,,,,1137.3,1283.7
Drew Mestemaker,2024,,0,3-Jun,215,QB,Texas,Austin,Austin Vandegrift,,,,,24114,North Texas,Enrolled,https://247sports.com/player/drew-mestemaker-46154239/,,,,,,,,206,223
Robert Shockey,2024,,0,1-Jun,200,QB,West Virginia,Ona,Cabell Midland,,,,,24015,NC State,Enrolled,https://247sports.com/player/robert-shockey-46156035/,,,,,,,,267.6,346.6
Jon Hunt,2024,,0,2-Jun,215,QB,South Carolina,Irmo,Dutch Fork,,,,,24262,East Tennessee State,Enrolled,https://247sports.com/player/jon-hunt-46156522/,,,,,,,,167.1,207.5
Baylor Hayes,2024,,0,Jun-00,180,QB,Tennessee,Brentwood,Brentwood,,,,,24262,East Tennessee State,Enrolled,https://247sports.com/player/baylor-hayes-46158174/,,,,,,,,246.9,290.6
Landen Clark,2024,,0,Jun-00,195,QB,Virginia,Radford,Radford,,,,,24227,Elon,Enrolled,https://247sports.com/player/landen-clark-46163293/,,,,,,,,92.6,122.3
Jimmy Francis,2024,,0,10-May,186,QB,Texas,Dallas,St. Mark's,,,,,24105,South Carolina,Enrolled,https://247sports.com/player/jimmy-francis-46163570/,,,,,,,,912.8,995.4
Raymond Moore III,2024,,0,4-Jun,180,QB,Maryland,Pikesville,Mergenthaler Vocational,,,,,24176,Morgan State,Enrolled,https://247sports.com/player/raymond-moore-iii-46164413/,,,,,,,,7.2,11
Cade Trotter,2024,,0,1-Jun,190,QB,Texas,Dallas,Highland Park,,,,,24008,Clemson,Enrolled,https://247sports.com/player/cade-trotter-46165093/,,,,,,,,813.3,897.5
Mason Welch,2024,,0,5-Jun,227,QB,Louisiana,Shreveport,Northwood,,,,,24121,Louisiana Tech,Enrolled,https://247sports.com/player/mason-welch-46112917/,,,,,,,,64.1,67.4
Bryce Underwood,2025,100,5,4-Jun,230,QB,Michigan,Belleville,Belleville,1/6/2024,1,1,1,24042,Michigan,Enrolled,https://247sports.com/player/bryce-underwood-46113169/,,,,,,,,13.1,19
Keelon Russell,2025,100,5,3-Jun,207,QB,Texas,Duncanville,Duncanville,,2,2,1,24096,Alabama,Enrolled,https://247sports.com/player/keelon-russell-46137983/,,,,,,,,544.5,594.3
Tavien St. Clair,2025,100,5,4-Jun,230,QB,Ohio,Bellefontaine,Bellefontaine,,3,4,1,24046,Ohio State,Enrolled,https://247sports.com/player/tavien-st-clair-46133409/,,,,,,,,45.7,55.3
