QB,CLASS,247 RATINGS,STARS,HEIGHT,WEIGHT,POSITION,STATE,HOMETOWN,HIGH SCHOOL,COMMITTED DATE,POSITION RANK,NATIONAL RANK,STATE RANK,COMMITTED SCHOOL ID,RECRUIT STATUS,PLAYER URL
Karson Gordon,2024,89,3,6-1,180.0,QB,Texas,Bellaire,Episcopal,11/07/2023,26,461,69,24093,Enrolled,https://247sports.com/player/karson-gordon-46104078/
Darius Curry,2024,88,3,5-10,165.0,QB,California,Long Beach,Long Beach Poly,,42,768,55,24080,Enrolled,https://247sports.com/player/darius-curry-46102664/
Evans Chuba,2024,85,3,6-4,220.0,QB,Florida,Clearwater,Clearwater Academy International,,79,1581,178,24095,Enrolled,https://247sports.com/player/evans-chuba-46139313/
Khalil Wilkins,2024,86,3,6-4,203.0,QB,Maryland,Upper Marlboro,Dr. Henry Wise,,65,1249,32,24038,Enrolled,https://247sports.com/player/khalil-wilkins-46133978/
Jared Hollins,2024,85,3,6-4,187.0,QB,Alabama,Semmes,Mary Montgomery,,80,1598,56,24264,Enrolled,https://247sports.com/player/jared-hollins-46132166/
DJ Moore,2024,85,3,6-1,175.0,QB,Florida,Jacksonville,The Bolles School,,92,1697,198,24136,Enrolled,https://247sports.com/player/dj-moore-46128696/
Enoch Watson,2024,85,3,6-3,215.0,QB,Arizona,Flagstaff,American Leadership Academy,,85,1638,27,24079,Enrolled,https://247sports.com/player/enoch-watson-46138829/
Arrington Maiden,2024,87,3,6-3,225.0,QB,Texas,College Station,College Station,,49,928,131,24053,Enrolled,https://247sports.com/player/arrington-maiden-46132052/
Henry Hasselbeck,2024,86,3,6-3,180.0,QB,Massachusetts,Westwood,Xaverian Brothers,,56,1155,4,24093,Enrolled,https://247sports.com/player/henry-hasselbeck-46138676/
Cole Welliver,2024,85,3,6-7,224.0,QB,Texas,Argyle,Liberty Christian,,78,1573,222,24032,Enrolled,https://247sports.com/player/cole-welliver-46102437/
Kellen Tasby,2024,86,3,6-5,215.0,QB,Texas,Plano,Prestonwood Christian,,62,1246,174,24057,Enrolled,https://247sports.com/player/kellen-tasby-46139474/
Adrian Posse,2024,85,3,6-4,250.0,QB,Florida,Miami,Miami Northwestern,,84,1637,189,24059,Enrolled,https://247sports.com/player/adrian-posse-46102384/
Kalieb Osborne,2024,87,3,6-3,204.0,QB,Michigan,Waterford,Waterford Mott,,54,1081,20,24076,Enrolled,https://247sports.com/player/kalieb-osborne-46125661/
Noah Lugo,2024,85,3,6-2,195.0,QB,Texas,Haslet,Haslet Eaton,,77,1572,221,24079,Enrolled,https://247sports.com/player/noah-lugo-46134814/
Caleb McCreary,2024,85,3,5-11,193.0,QB,Alabama,Montgomery,Montgomery Catholic Preparatory,,82,1620,76,24115,Enrolled,https://247sports.com/player/caleb-mccreary-46115272/
Braden Graham,2024,,0,6-1,205.0,QB,Tennessee,Murfreesboro,Riverdale,,,,,24211,Enrolled,https://247sports.com/player/braden-graham-46117257/
Khristian Martin,2024,85,3,6-4,230.0,QB,Virginia,Highland Springs,Highland Springs,07/30/2023,73,1513,33,24012,Enrolled,https://247sports.com/player/khristian-martin-46103679/
Drew Devillier,2024,87,3,6-5,230.0,QB,Texas,Plano,Plano East,,48,927,130,24054,Enrolled,https://247sports.com/player/drew-devillier-46141932/
Deshawn Purdie,2024,84,3,6-4,228.0,QB,Maryland,Baltimore,Milford Mill Academy,,112,2157,50,24318,Enrolled,https://247sports.com/player/deshawn-purdie-46129373/
Cole Hodge,2024,84,3,6-2,193.0,QB,Kentucky,Louisville,Christian Academy of Louisville,,102,2005,19,24050,Enrolled,https://247sports.com/player/cole-hodge-46134010/
Alberto Mendoza,2024,82,3,6-2,215.0,QB,Florida,Miami,Miami Columbus,,137,2571,295,24040,Enrolled,https://247sports.com/player/alberto-mendoza-46135097/
Roman Gagliano,2024,85,3,6-3,224.0,QB,Alabama,Opelika,Opelika,,81,1614,70,24113,Enrolled,https://247sports.com/player/roman-gagliano-46136855/
Emonte Cross,2024,85,3,6-2,190.0,QB,Texas,Center,Center,,158,1828,259,24388,Signed,https://247sports.com/player/emonte-cross-46141178/
Winston Watkins,2024,85,3,6-6,225.0,QB,Maryland,Baltimore,Mount Saint Joseph,,159,1829,48,24151,Signed,https://247sports.com/player/winston-watkins-46144755/
Van Weber,2024,85,3,6-4,190.0,QB,New Jersey,Rutherford,Rutherford,,87,1656,32,24189,Signed,https://247sports.com/player/van-weber-46146127/
Bryan Wilson,2024,85,3,5-11.5,218.0,QB,California,Corona,Eastvale Roosevelt,,91,1683,118,24215,Signed,https://247sports.com/player/bryan-wilson-46117685/
Shay Smith,2024,84,3,6-2,215.0,QB,Texas,El Paso,El Paso Franklin,,96,1909,266,24061,Enrolled,https://247sports.com/player/shay-smith-46138886/
Ryan Boe,2024,86,3,6-3,215.0,QB,Illinois,Batavia,Batavia,,70,1409,38,24045,Enrolled,https://247sports.com/player/ryan-boe-46142874/
John White,2024,84,3,6-0,200.0,QB,Mississippi,Madison,Madison-Ridgeland Academy,,98,1914,49,24056,Enrolled,https://247sports.com/player/john-white-46115300/
Ryland Jessee,2024,,0,6-4,206.0,QB,California,La Mesa,Helix,,,,,24043,Enrolled,https://247sports.com/player/ryland-jessee-46129429/
Marcelis Tate,2024,85,3,6-2,180.0,QB,Florida,Neptune Beach,Duncan U. Fletcher,,74,1522,163,24036,Enrolled,https://247sports.com/player/marcelis-tate-46134882/
Micah Alejado,2024,83,3,5-10,180.0,QB,Nevada,Las Vegas,Bishop Gorman,,126,2314,12,24119,Enrolled,https://247sports.com/player/micah-alejado-46113374/
Nate Bennett,2024,84,3,6-1,184.0,QB,California,Westlake Village,Oaks Christian,,108,2135,157,24019,Enrolled,https://247sports.com/player/nate-bennett-46130738/
Jake Schakel,2024,85,3,6-2,194.0,QB,Washington,Puyallup,Emerald Ridge,,94,1742,24,24126,Signed,https://247sports.com/player/jake-schakel-46103786/
Kaleb Annett,2024,84,3,6-3,200.0,QB,California,Newport Beach,Corona Del Mar,,99,1923,138,24117,Enrolled,https://247sports.com/player/kaleb-annett-46139958/
JC Evans,2024,84,3,6-5,211.0,QB,Florida,Miami,Miami Central,,101,2004,235,24144,Enrolled,https://247sports.com/player/jc-evans-46111816/
Cash McCollum,2024,84,3,6-4,210.0,QB,Texas,China Spring,China Spring,,95,1908,265,24114,Enrolled,https://247sports.com/player/cash-mccollum-46117493/
Boone Lourd,2024,83,3,6-1,203.0,QB,California,Los Angeles,Brentwood School,,123,2284,182,24016,Enrolled,https://247sports.com/player/boone-lourd-46116039/
JD Davis II,2024,85,3,6-2,190.0,QB,Georgia,Loganville,Grayson,,89,1658,158,24077,Enrolled,https://247sports.com/player/jd-davis-ii-46145809/
Deyon Batiste,2024,,0,6-5,235.0,QB,Texas,Cypress,Cy Park,,,,,24086,Enrolled,https://247sports.com/player/deyon-batiste-46115875/
Asher Weiner,2024,85,3,6-4,200.0,QB,Colorado,Littleton,Valor Christian,,90,1659,10,24169,HardCommit,https://247sports.com/player/asher-weiner-46108975/
JacQai Long,2024,84,3,6-2,205.0,QB,West Virginia,Hurricane,Hurricane,,107,2134,7,24052,Enrolled,https://247sports.com/player/jacqai-long-46145592/
Tucker Parks,2024,85,3,6-1,193.0,QB,Texas,Spring,Klein Collins,,86,1655,232,24116,Enrolled,https://247sports.com/player/tucker-parks-46122902/
Talon Fisher,2024,84,3,6-2,200.0,QB,Ohio,Fairfield,Fairfield,,111,2155,80,24063,HardCommit,https://247sports.com/player/talon-fisher-46118485/
Colter Ginn,2024,84,3,6-3,205.0,QB,Georgia,Perry,Perry,,103,2030,187,24100,Enrolled,https://247sports.com/player/colter-ginn-46134945/
Braden Streeter,2024,84,3,6-2,207.0,QB,Tennessee,Nashville,Christ Presbyterian Academy,,105,2084,74,24142,Enrolled,https://247sports.com/player/braden-streeter-46136434/
Jace Stuckey,2024,86,3,6-1,194.0,QB,Indiana,Fairland,Triton Central,,72,1431,22,24070,Enrolled,https://247sports.com/player/jace-stuckey-46139411/
Gael Ochoa,2024,82,3,6-2,195.0,QB,Texas,El Paso,El Paso Pebble Hills,,139,2587,355,24084,Enrolled,https://247sports.com/player/gael-ochoa-46118237/
Keshawn Mister,2024,83,3,6-1,180.0,QB,Maryland,Towson,Concordia Prep,,210,2370,51,24160,Signed,https://247sports.com/player/keshawn-mister-46139364/
Andrew Maushardt,2024,84,3,6-3,205.0,QB,California,Santa Fe Springs,St. Paul HS,,115,2216,177,24089,Enrolled,https://247sports.com/player/andrew-maushardt-46114961/
Eric Handley,2024,84,3,6-2,180.0,QB,Alabama,Fairfield,Fairfield Preparatory School,,100,1924,87,24232,Signed,https://247sports.com/player/eric-handley-46114838/
Cody Pagach,2024,84,3,6-3,192.0,QB,Tennessee,Alcoa,Alcoa,,104,2053,65,24254,Signed,https://247sports.com/player/cody-pagach-46117194/
Kallen Gutridge,2024,82,3,6-3,196.0,QB,Oregon,Wilsonville,Wilsonville,,136,2523,19,24091,Enrolled,https://247sports.com/player/kallen-gutridge-46139988/
Sam Kaiser,2024,82,3,6-5,205.0,QB,Missouri,Columbia,Rock Bridge,,143,2663,31,24167,Enrolled,https://247sports.com/player/sam-kaiser-46139608/
Anthony Wolter,2024,84,3,5-11,203.0,QB,California,Lancaster,St. Bonaventure,,113,2158,163,24122,Enrolled,https://247sports.com/player/anthony-wolter-46114529/
Ty McCutcheon,2024,85,3,6-3,185.0,QB,Hawaii,Honolulu,Punahou,,83,1636,8,26462,Enrolled,https://247sports.com/player/ty-mccutcheon-46129897/
Damon Wrighster,2024,,0,6-3,185.0,QB,California,Inglewood,Inglewood,,,,,24158,Enrolled,https://247sports.com/player/damon-wrighster-46118389/
Jim Ogle,2024,85,3,6-2,183.0,QB,Alabama,Jacksonville,Jacksonville,,93,1709,78,24112,Enrolled,https://247sports.com/player/jim-ogle-46117404/
Alonzo Contreras,2024,84,3,5-11,180.0,QB,California,Calabasas,Calabasas,,114,2162,164,24124,Enrolled,https://247sports.com/player/alonzo-contreras-46136133/
Chris Dietrich,2024,83,3,6-3,205.0,QB,New Jersey,Sparta,Pope John XXIII,,120,2280,46,24075,Enrolled,https://247sports.com/player/chris-dietrich-46139079/
Clayton Dees,2024,83,3,6-2,180.0,QB,Florida,Bradenton,Palmetto,,117,2277,258,24109,Enrolled,https://247sports.com/player/clayton-dees-46139944/
Holden Bea,2024,83,3,6-2,190.0,QB,Washington,Washougal,Washougal,,130,2345,29,24120,Signed,https://247sports.com/player/holden-bea-46117595/
Luke Flowers,2024,83,3,6-1,170.0,QB,Idaho,Rigby,Rigby,,128,2334,5,24128,Signed,https://247sports.com/player/luke-flowers-46118103/
Zach Sims,2024,83,3,6-2,185.0,QB,Alabama,Alabaster,Thompson,,131,2351,112,24594,Enrolled,https://247sports.com/player/zach-sims-46133973/
Jack Patterson,2024,83,3,6-2,185.0,QB,Mississippi,Southaven,Northpoint Christian School,,119,2279,62,24233,Enrolled,https://247sports.com/player/jack-patterson-46134900/
Jackson Stevens,2024,83,3,6-5,225.0,QB,Utah,Lehi,Skyridge,,132,2448,31,24157,Signed,https://247sports.com/player/jackson-stevens-46140430/
Thomas Gotkowski,2024,80,3,6-1,190.0,QB,Indiana,Indianapolis,Ben Davis,,162,2982,38,24072,Enrolled,https://247sports.com/player/thomas-gotkowski-46137519/
Daniel Beale,2024,84,3,6-2,200.0,QB,Louisiana,Baton Rouge,Baton Rouge Catholic,,110,2137,63,24111,Enrolled,https://247sports.com/player/daniel-beale-46132127/
AJ Hairston,2024,82,3,6-3,215.0,QB,Florida,Pompano Beach,Monarch,,142,2644,304,24146,Enrolled,https://247sports.com/player/aj-hairston-46134816/
Jack Stanton,2024,82,3,6-3,215.0,QB,Georgia,Norcross,Greater Atlanta Christian School,,138,2586,244,24937,Enrolled,https://247sports.com/player/jack-stanton-46131800/
Dylan Mills,2024,83,3,6-2,205.0,QB,California,San Clemente,San Clemente,,127,2319,189,24152,Signed,https://247sports.com/player/dylan-mills-46134466/
Alex Erby,2024,80,3,6-2,205.0,QB,Pennsylvania,Harrisburg,Steelton-Highspire,,154,2893,56,24063,HardCommit,https://247sports.com/player/alex-erby-46110049/
Matthew Wilson,2024,81,3,6-0,205.0,QB,South Carolina,Rock Hill,Rock Hill,,148,2758,36,24224,Enrolled,https://247sports.com/player/matthew-wilson-46118062/
Jadyn Glasser,2024,83,3,6-2,230.0,QB,Florida,Venice,Venice,,116,2276,257,24069,Enrolled,https://247sports.com/player/jadyn-glasser-46139051/
Brayden Roggow,2024,82,3,6-4,200.0,QB,Ohio,Tiffin,Columbian,,145,2691,111,24065,Enrolled,https://247sports.com/player/brayden-roggow-46140569/
Tyler Budge,2024,79,2,6-3,205.0,QB,North Carolina,Matthews,Weddington,,180,3192,62,24229,Enrolled,https://247sports.com/player/tyler-budge-46139718/
Mason Reynolds,2024,79,2,6-1,219.0,QB,Indiana,Avon,Avon,,181,3201,53,24077,Enrolled,https://247sports.com/player/mason-reynolds-46133334/
Cru Newman,2024,82,3,6-0,178.0,QB,Oregon,Portland,Central Catholic,,135,2522,18,24132,Signed,https://247sports.com/player/cru-newman-46128019/
Caleb Sanchez,2024,82,3,6-3,220.0,QB,California,Bellflower,St. John Bosco,,140,2588,220,24164,HardCommit,https://247sports.com/player/caleb-sanchez-46131715/
Trey Hedden,2024,82,3,6-3,225.0,QB,Florida,Tampa,Tampa Catholic,,134,2521,286,24228,Enrolled,https://247sports.com/player/trey-hedden-46132126/
Karson Siqueiros-Lasky,2024,82,3,6-1,195.0,QB,Florida,Sanford,Seminole,,146,2700,309,24168,HardCommit,https://247sports.com/player/karson-siqueiros-lasky-46138869/
Neko Fann,2024,82,3,5-11,170.0,QB,Georgia,Moultrie,Colquitt County,,147,2701,253,24365,Signed,https://247sports.com/player/neko-fann-46145079/
Brad Jackson,2024,84,3,6-0,200.0,QB,Texas,San Antonio,Reagan,,106,2085,301,24240,Enrolled,https://247sports.com/player/brad-jackson-46111817/
Quinn Henicle,2024,82,3,6-2,190.0,QB,Pennsylvania,Downingtown,Downingtown West,,144,2690,53,24160,Enrolled,https://247sports.com/player/quinn-henicle-46143466/
Luther Richesson,2024,87,3,6-3,217.0,QB,Tennessee,Nashville,Lipscomb Academy,,2,1123,10,24113,Enrolled,https://247sports.com/player/luther-richesson-46102641/
TC Manumaleuna,2024,80,3,6-0,210.0,QB,Oregon,Salem,North Salem,,267,2959,22,24090,Enrolled,https://247sports.com/player/tc-manumaleuna-46102423/
Rodney Tisdale Jr.,2024,83,3,6-2,185.0,QB,Florida,Jacksonville,First Coast,,121,2281,259,24116,Enrolled,https://247sports.com/player/rodney-tisdale-jr-46117509/
Brady McDonough,2024,78,2,6-0,190.0,QB,Arizona,Scottsdale,Desert Mountain,,186,3334,68,24063,Enrolled,https://247sports.com/player/brady-mcdonough-46113206/
Logan Borodychuk,2024,79,2,6-5,215.0,QB,Michigan,Mt. Pleasant,Mt. Pleasant,,182,3215,76,24069,Enrolled,https://247sports.com/player/logan-borodychuk-46135072/
DJ Bailey,2024,83,3,5-11,220.0,QB,Texas,DeSoto,DeSoto,,125,2311,332,24237,Enrolled,https://247sports.com/player/dj-bailey-46112839/
Malachi Marshall,2024,86,3,6-2,168.0,QB,South Carolina,Rock Hill,South Pointe,,2,1643,4,24140,Enrolled,https://247sports.com/player/malachi-marshall-46138422/
Caden Pinnick,2024,81,3,6-0,192.0,QB,California,Loomis,Del Oro,,150,2768,248,24158,Enrolled,https://247sports.com/player/caden-pinnick-46143633/
Dorian Hale,2024,81,3,6-0,177.0,QB,California,Brentwood,De La Salle,,4,2888,39,24124,Enrolled,https://247sports.com/player/dorian-hale-46058951/
Tuli Tagovailoa-Amosa,2024,80,3,5-11,190.0,QB,Hawaii,Kahuku,Kahuku,,279,3033,22,24124,Enrolled,https://247sports.com/player/tuli-tagovailoa-amosa-46147577/
JP Pickles,2024,82,3,6-1,200.0,QB,Florida,Tallahassee,North Florida Christian,,133,2520,285,24061,Enrolled,https://247sports.com/player/jp-pickles-46146083/
AJ Watkins,2024,84,3,6-1,191.0,QB,Georgia,Norcross,Norcross,,177,1990,182,24201,Enrolled,https://247sports.com/player/aj-watkins-46146064/
Luke Marble,2024,79,2,6-4,200.0,QB,Georgia,Smyrna,Campbell,,173,3136,274,24073,Enrolled,https://247sports.com/player/luke-marble-46145985/
Jack Stevens,2024,80,3,6-1,195.0,QB,California,San Diego,Cathedral Catholic,,156,2936,294,24197,HardCommit,https://247sports.com/player/jack-stevens-46113339/
Davis Harsin,2024,80,3,6-0,180.0,QB,Idaho,Eagle,Eagle,,157,2940,9,24127,HardCommit,https://247sports.com/player/davis-harsin-46114934/
Daveon Superales,2024,80,3,6-0,170.0,QB,Washington,Graham,Graham-Kapowsin,,155,2913,49,24129,Enrolled,https://247sports.com/player/daveon-superales-46115240/
Parker Threatt,2024,80,3,6-2,190.0,QB,California,San Jose,Bellarmine Prep,,270,2998,314,24082,Enrolled,https://247sports.com/player/parker-threatt-46133184/
Jack Johnson,2024,80,3,6-0,195.0,QB,Utah,Salt Lake City,Brighton,,159,2949,39,24210,HardCommit,https://247sports.com/player/jack-johnson-46135152/
Noah Trigueros,2024,80,3,6-2,180.0,QB,Arizona,Scottsdale,Notre Dame Preparatory,,168,3017,66,24166,HardCommit,https://247sports.com/player/noah-trigueros-46136783/
Luke Baker,2024,80,3,5-11,180.0,QB,California,Danville,San Ramon Valley,,158,2944,298,24133,Enrolled,https://247sports.com/player/luke-baker-46136882/
Tyson Line,2024,80,3,6-3,195.0,QB,California,San Diego,Mira Mesa,,166,3006,318,24157,HardCommit,https://247sports.com/player/tyson-line-46140948/
DaOne Owens,2024,80,3,6-1,205.0,QB,Ohio,Massillon,Massillon Washington,,169,3039,123,28434,Signed,https://247sports.com/player/daone-owens-46141563/
Jonny Sorensen,2024,80,3,6-2,195.0,QB,Indiana,Hobart,Hobart,,170,3056,43,24067,Enrolled,https://247sports.com/player/jonny-sorensen-46141700/
Mikal Davis,2024,79,2,6-0,200.0,QB,Pennsylvania,Philadelphia,Imhotep Institute,,183,3222,64,24062,HardCommit,https://247sports.com/player/mikal-davis-46132087/
DJ Gordon,2024,79,2,6-0,200.0,QB,Indiana,Indianapolis,Park Tudor,,176,3141,50,24167,Enrolled,https://247sports.com/player/dj-gordon-46135544/
Elijah Leonard,2024,79,2,6-4,220.0,QB,Missouri,Lee's Summit,Lee's Summit North,,179,3176,38,24182,Enrolled,https://247sports.com/player/elijah-leonard-46140163/
KJ Cooper,2024,79,2,6-5,225.0,QB,Texas,El Paso,El Paso Pebble Hills,,6,3266,1,24249,Enrolled,https://247sports.com/player/kj-cooper-46143879/
Anthony Grigsby Jr.,2024,79,2,5-11,196.0,QB,California,Elk Grove,Cosumnes Oaks,,7,3270,51,24122,Enrolled,https://247sports.com/player/anthony-grigsby-jr-46097088/
Nicholas Mayfield,2024,79,2,6-2,185.0,QB,Illinois,Blue Island,Eisenhower,,184,3239,81,24156,Signed,https://247sports.com/player/nicholas-mayfield-46145872/
Haden Klees,2024,79,2,6-1.5,180.0,QB,Florida,Crawfordville,Wakulla,,174,3137,330,24230,Signed,https://247sports.com/player/haden-klees-46146113/
Kasen Covert,2024,,0,6-0,185.0,QB,Oregon,Sherwood,Sherwood,,,,,24131,Enrolled,https://247sports.com/player/kasen-covert-46114066/
Brody Fortunati,2024,78,2,6-3,190.0,QB,California,Vacaville,Vacaville,,193,3397,345,24078,HardCommit,https://247sports.com/player/brody-fortunati-46140891/
Dylan Dunn,2024,78,2,6-4,190.0,QB,Kansas,Olathe,Blue Valley Southwest,,189,3360,29,24079,HardCommit,https://247sports.com/player/dylan-dunn-46144447/
Kenny Lueth,2024,79,2,6-4,220.0,QB,California,Rocklin,Rocklin,,5,3255,48,24073,Enrolled,https://247sports.com/player/kenny-lueth-46116997/
Tyrese Smith,2024,77,2,6-2,210.0,QB,Nevada,Henderson,Liberty,,198,3500,30,24132,Signed,https://247sports.com/player/tyrese-smith-46127779/
Cale McThenia,2024,77,2,6-3,210.0,QB,Illinois,Woodstock,Marian Central Catholic,,196,3496,102,24184,Signed,https://247sports.com/player/cale-mcthenia-46136881/
Jeremiah Finaly,2024,77,2,6-0,185.0,QB,California,Los Alamitos,Crean Lutheran,,204,3615,389,24044,Enrolled,https://247sports.com/player/jeremiah-finaly-46137777/
Bryson Luter,2024,77,2,6-0,180.0,QB,Indiana,Indianapolis,Lawrence Central,,197,3499,69,24062,Enrolled,https://247sports.com/player/bryson-luter-46138252/
Antwon McKay,2024,77,2,6-3,165.0,QB,Missouri,St. Louis,Cardinal Ritter College Prep,,201,3589,54,24187,HardCommit,https://247sports.com/player/antwon-mckay-46142885/
Hunter Watson,2024,77,2,6-3,210.0,QB,Texas,Celina,Celina,,8,3671,19,24237,Enrolled,https://247sports.com/player/hunter-watson-46146095/
Jett Hilding,2024,77,2,6-2,180.0,QB,Illinois,Chicago,St. Rita,,206,3673,112,24071,Enrolled,https://247sports.com/player/jett-hilding-46147725/
Greg Jones,2024,77,2,6-4,205.0,QB,Florida,Orlando,Foundation Academy,,9,3676,58,24201,Enrolled,https://247sports.com/player/greg-jones-46149126/
Robert Battle,2024,76,2,6-1,175.0,QB,Illinois,East St. Louis,East St. Louis,,207,3700,113,24447,HardCommit,https://247sports.com/player/robert-battle-46114472/
Reqez Nance,2024,76,2,5-10,180.0,QB,Michigan,West Bloomfield,West Bloomfield,,208,3701,94,26074,HardCommit,https://247sports.com/player/reqez-nance-46118711/
Damian Aalona,2024,76,2,6-1,185.0,QB,Washington,Yelm,Yelm,,209,3702,106,25302,HardCommit,https://247sports.com/player/damian-aalona-46136375/
Connor Wolf,2024,76,2,6-3,185.0,QB,Michigan,Grand Rapids,Catholic Central,,211,3724,96,24199,HardCommit,https://247sports.com/player/connor-wolf-46139680/
Andrew Schuster,2024,75,2,6-2,205.0,QB,Michigan,Clinton Township,Chippewa Valley,,219,3801,103,24280,HardCommit,https://247sports.com/player/andrew-schuster-46140613/
Milos Spasojevic,2024,75,2,6-3,215.0,QB,Minnesota,Minnetonka,Minnetonka,,217,3795,47,24049,HardCommit,https://247sports.com/player/milos-spasojevic-46142150/
CJ Lee,2024,75,2,6-2,160.0,QB,California,Carmichael,Jesuit,,216,3785,423,24124,Enrolled,https://247sports.com/player/cj-lee-46143236/
Poochie Snyder,2024,75,2,6-0,180.0,QB,Ohio,Canton,Canton South,,218,3798,169,24195,HardCommit,https://247sports.com/player/poochie-snyder-46143637/
Zak Olejniczak,2024,75,2,6-1,180.0,QB,Michigan,Lapeer,Lapeer ,,212,3770,100,24280,HardCommit,https://247sports.com/player/zak-olejniczak-46144302/
Gunnar Trachte,2024,74,2,6-4,205.0,QB,Washington,Enumclaw,Enumclaw,,225,3855,149,24440,HardCommit,https://247sports.com/player/gunnar-trachte-46103784/
Lucas Razore,2024,74,2,6-0,165.0,QB,Washington,Bellevue,Bellevue,,226,3856,150,24154,HardCommit,https://247sports.com/player/lucas-razore-46135934/
Steven Warren,2024,74,2,6-4,155.0,QB,Washington,Edmonds,Edmonds Woodway,,224,3853,147,24261,HardCommit,https://247sports.com/player/steven-warren-46137422/
M'Khi Guy,2024,74,2,5-6,140.0,QB,Michigan,Muskegon,Muskegon,,228,3864,109,24313,HardCommit,https://247sports.com/player/mkhi-guy-46142449/
Jake Tiryakioglu,2024,71,2,6-1,208.0,QB,Washington,Sammamish,Eastside Catholic,,238,3956,183,24095,Enrolled,https://247sports.com/player/jake-tiryakioglu-46118296/
Reece Fountain,2024,,0,6-0,167.0,QB,Georgia,Rome,Rome,,,,,24262,HardCommit,https://247sports.com/player/reece-fountain-46101999/
Michael Valentino,2024,,0,6-1,195.0,QB,Florida,Sarasota,Cardinal Mooney,,,,,24110,Enrolled,https://247sports.com/player/michael-valentino-46103434/
Christopher Martin,2024,,0,6-2,190.0,QB,Georgia,Tifton,Tift County,,,,,24242,Enrolled,https://247sports.com/player/christopher-martin-46115784/
Frankie Weaver,2024,,0,6-4.5,190.0,QB,Maryland,Olney,Our Lady of Good Counsel,,,,,24193,HardCommit,https://247sports.com/player/frankie-weaver-46116582/
Paxton Land,2024,,0,6-4,214.0,QB,Texas,Austin,Austin Westlake,,,,,24029,Enrolled,https://247sports.com/player/paxton-land-46117396/
Godspower Nwawuihe,2024,,0,5-11,195.0,QB,Texas,McKinney,McKinney,,,,,24062,HardCommit,https://247sports.com/player/godspower-nwawuihe-46125472/
Elijah Tillery,2024,,0,6-6,185.0,QB,North Carolina,Valdese,Jimmy C. Draughn,,,,,24015,HardCommit,https://247sports.com/player/elijah-tillery-46125676/
Ethan Terrell,2024,,0,6-2,185.0,QB,Texas,Lewisville,Lewisville,,,,,24245,Signed,https://247sports.com/player/ethan-terrell-46128135/
Zion Brown,2024,,0,6-0,180.0,QB,Texas,Humble,Atascocita,,,,,24910,HardCommit,https://247sports.com/player/zion-brown-46128512/
Matt Ivaldi,2024,,0,6-1,200.0,QB,Florida,Fort Lauderdale,Miami Carol City,,,,,24209,Enrolled,https://247sports.com/player/matt-ivaldi-46128902/
Andres Miyares Jr.,2024,,0,6-1,210.0,QB,Florida,Miami,Belen Jesuit Prep,,,,,24014,Enrolled,https://247sports.com/player/andres-miyares-jr-46129399/
Gunner Chenier,2024,,0,6-3,202.0,QB,Texas,Sugar Land,Fort Bend Clements,,,,,24368,HardCommit,https://247sports.com/player/gunner-chenier-46129506/
Trey Whirley,2024,,0,6-0,195.0,QB,Florida,Clearwater,Clearwater,,,,,24076,Enrolled,https://247sports.com/player/trey-whirley-46131543/
Connor Ackerley,2024,,0,6-1,185.0,QB,Arizona,Tempe,Corona del Sol,,,,,25113,Enrolled,https://247sports.com/player/connor-ackerley-46133707/
Deuce Barrington,2024,,0,6-0,180.0,QB,Texas,Fulshear,Fulshear,,,,,24247,HardCommit,https://247sports.com/player/deuce-barrington-46134214/
Lincoln Philyaw,2024,,0,6-2,213.0,QB,Texas,San Antonio,San Antonio Brandeis,,,,,24240,Enrolled,https://247sports.com/player/lincoln-philyaw-46135143/
Devin Grainger,2024,,0,6-1,180.0,QB,South Carolina,Conway,Conway,,,,,28752,Signed,https://247sports.com/player/devin-grainger-46136453/
Hayden Johnson,2024,,0,6-0,180.0,QB,Pennsylvania,Lancaster,Manheim Township,,,,,24213,HardCommit,https://247sports.com/player/hayden-johnson-46138115/
Atzel Chavez,2024,,0,6-1,175.0,QB,Texas,Laredo,United,,,,,24910,HardCommit,https://247sports.com/player/atzel-chavez-46138992/
Hunter Najm,2024,,0,5-11,190.0,QB,California,Aliso Viejo,Aliso Niguel,,,,,24095,Enrolled,https://247sports.com/player/hunter-najm-46139877/
Luke Knight,2024,,0,5-9,194.0,QB,Florida,Zephyrhills,Wiregrass Ranch,,,,,24062,Enrolled,https://247sports.com/player/luke-knight-46139979/
Whitt Newbauer,2024,,0,6-6,231.0,QB,North Carolina,Raleigh,Cardinal Gibbons,,,,,24365,Enrolled,https://247sports.com/player/whitt-newbauer-46140654/
Thomas Rosso,2024,,0,6-3,175.0,QB,California,Palos Verdes Peninsula,Chadwick School,,,,,24209,HardCommit,https://247sports.com/player/thomas-rosso-46141770/
Austin Troyer,2024,,0,6-3,205.0,QB,Delaware,Middletown,Middletown,,,,,24142,Enrolled,https://247sports.com/player/austin-troyer-46142696/
Nehemiah Vann,2024,,0,6-1,200.0,QB,Florida,Lecanto,Seven Rivers Christian School,,,,,24062,Enrolled,https://247sports.com/player/nehemiah-vann-46142923/
Jackson Gutierrez,2024,,0,6-0,207.0,QB,Texas,San Antonio,John Jay,,,,,24063,Enrolled,https://247sports.com/player/jackson-gutierrez-46143196/
Parker Thompson,2024,,0,6-3,195.0,QB,Texas,Dallas,Highland Park,,,,,24078,HardCommit,https://247sports.com/player/parker-thompson-46143920/
